название;тип_лофт;телефон;сайт;ссылка
High Ground (Возвышенность). ВИП-кабинка для небольшой компании;Лофт, вечеринка, 10 м², 10 человек;+79893636021;N/A;https://www.reveltime.ru/venue/4682067?eventtype=vecherinka
High Ground (Возвышенность). Зал Нью-Йорк;Лофт, вечеринка, 25 м², 17 человек;+79386989873;N/A;https://www.reveltime.ru/venue/4135370?eventtype=vecherinka
High Ground (Возвышенность). Просторный зал;Лофт, вечеринка, 30 м², 30 человек;+79676928564;N/A;https://www.reveltime.ru/venue/5282130?eventtype=vecherinka
High Ground (Возвышенность). Просторный стильный лофт;Лофт, вечеринка, 250 м², 150 человек;+79584974160;N/A;https://www.reveltime.ru/venue/4412936?eventtype=vecherinka
Honey. EmpireLoft Стилизованный лофт с проектором;Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/5143639?eventtype=vecherinka
Hookah Land Особняк-лофт с кинозалом;Лофт, вечеринка, 45 м², 16 человек;;N/A;https://www.reveltime.ru/venue/1996181?eventtype=vecherinka
I need you space. Уютный лофт;Лофт, вечеринка, 120 м², 45 человек;+79099511234;N/A;https://www.reveltime.ru/venue/3836995?eventtype=vecherinka
Igloobar (Иглубар). Лофт с панорамным видом;Лофт, вечеринка, 50 м², 15 человек;+74996488457;N/A;https://www.reveltime.ru/venue/2962665?eventtype=vecherinka
Igloobar (Иглубар). Уникальный лофт-кинозал;Лофт, вечеринка, 80 м², 15 человек;+74996488457;N/A;https://www.reveltime.ru/venue/2793076?eventtype=vecherinka
Imperial. Праздничный лофт-зал с большим столом;Лофт, вечеринка, 25 м², 17 человек;+74994600028;N/A;https://www.reveltime.ru/venue/4706073?eventtype=vecherinka
INFOLOFTMSK (ИНФОЛОФТМСК). Лофт с уникальным дизайном;Лофт, вечеринка, 105 м², 45 человек;+79019397046;N/A;https://www.reveltime.ru/venue/6549792?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Дримзон;Лофт, вечеринка, 30 м², 18 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6012001?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт Венеция;Лофт, вечеринка, 16 м², 9 человек;+79346657019;N/A;https://www.reveltime.ru/venue/8004436?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт Гринвуд;Лофт, вечеринка, 50 м², 40 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6017908?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт Диор;Лофт, вечеринка, 14 м², 7 человек;;N/A;https://www.reveltime.ru/venue/7867431?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт Диско;Лофт, вечеринка, 50 м², 40 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6017878?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт Кинозвезда;Лофт, вечеринка, 50 м², 40 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6011450?eventtype=vecherinka
Izmailov Loft (Измайлов Лофт). Лофт-зал в классическом стиле;Лофт, вечеринка, 50 м², 40 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6017789?eventtype=vecherinka
Izmayloft. Уютный лофт с верандой;Лофт, вечеринка, 90 м², 50 человек;;N/A;https://www.reveltime.ru/venue/4422233?eventtype=vecherinka
JustLoft. Дизайнерское пространство;Лофт, вечеринка, 187 м², 90 человек;+79163797300;N/A;https://www.reveltime.ru/venue/469715?eventtype=vecherinka
Kahovka loft (Каховка Лофт). Неоновый лофт-зал;Лофт, вечеринка, 50 м², 20 человек;+79019317663;N/A;https://www.reveltime.ru/venue/6921455?eventtype=vecherinka
Krisha loft (Крыша Лофт);Лофт, вечеринка, 120 м², 60 человек;+79584974228;N/A;https://www.reveltime.ru/venue/6498928?eventtype=vecherinka
Largo ресторан (Ларго). Малый банкетный зал в итальянском стиле;Лофт, вечеринка, 115 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3444171?eventtype=vecherinka
Lavanda loft. Уютный лофт для различных событий;Лофт, вечеринка, 70 м², 25 человек;+79772959526;N/A;https://www.reveltime.ru/venue/5908581?eventtype=vecherinka
Lemon Haze Зал в лофт-особняке в центре;Лофт, вечеринка, 45 м², 45 человек;;N/A;https://www.reveltime.ru/venue/353872?eventtype=vecherinka
Lemon Haze Лофт-особняк в центре Москвы;Лофт, вечеринка, 110 м², 60 человек;;N/A;https://www.reveltime.ru/venue/353764?eventtype=vecherinka
Lemon Haze. Мини-лофт;Лофт, вечеринка, 30 м², 20 человек;;N/A;https://www.reveltime.ru/venue/631933?eventtype=vecherinka
Level 19 Лофт для закрытых вечеринок;Лофт, вечеринка, 150 м², 85 человек;+79261003263;N/A;https://www.reveltime.ru/venue/238467?eventtype=vecherinka
Light_Studio. Двухуровневое event-пространство;Лофт, вечеринка, 80 м², 35 человек;;N/A;https://www.reveltime.ru/venue/4082500?eventtype=vecherinka
Live Stars (Лайв Старс). Лофт-ночной клуб;Лофт, вечеринка, 120 м², 60 человек;+79584974228;N/A;https://www.reveltime.ru/venue/2708141?eventtype=vecherinka
Lo/st Pravda (Ло/ст Правда). Светлый лофт;Лофт, вечеринка, 70 м², 25 человек;+79584974331;N/A;https://www.reveltime.ru/venue/3452070?eventtype=vecherinka
"Loft 2&#039;25. Лофт со своей территорией";Лофт, вечеринка, 225 м², 101 человек;+79263872518;N/A;https://www.reveltime.ru/venue/317903?eventtype=vecherinka
Loft 45. Вкус мяса Атмосферный лофт;Лофт, вечеринка, 70 м², 40 человек;;N/A;https://www.reveltime.ru/venue/3276268?eventtype=vecherinka
Loft Berlin (Лофт Берлин). Стильный бар под закрытие;Лофт, вечеринка, 120 м², 100 человек;+79584630738;N/A;https://www.reveltime.ru/venue/5138490?eventtype=vecherinka
